                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                  1.172,                0.99869,                0.85978,                0.96467,                      1,                  0.995,                  0.796,                 1.1509,                 1.3024,                0.62445,              0.0012773,              0.0012773,              0.0012773
                     75,                  1.474,                 1.2448,                0.83926,                 0.9676,                      1,                  0.995,                  0.796,                 1.4278,                 1.2644,                0.63606,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.2849,                 1.0142,                0.87799,                0.96859,                      1,                  0.995,                 0.6965,                 1.5185,                 1.2867,                0.64723,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.4462,                 1.0648,                0.80297,                0.96859,                      1,                  0.995,                 0.6965,                 1.5185,                 1.2867,                0.64723,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.3504,                0.97756,                0.86839,                0.96928,                      1,                  0.995,                  0.796,                 1.2712,                  1.334,                0.64297,              0.0012377,              0.0012377,              0.0012377
                     79,                  1.282,                0.86286,                0.90364,                0.96756,                      1,                  0.995,                  0.796,                 1.3444,                 1.2925,                0.64401,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.3501,                 0.9999,                0.86069,                0.96641,                      1,                  0.995,                  0.796,                 1.3204,                 1.2795,                0.64545,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.3293,                0.89837,                0.85339,                0.96641,                      1,                  0.995,                  0.796,                 1.3204,                 1.2795,                0.64545,               0.001208,               0.001208,               0.001208
                     82,                 1.3742,                0.85392,                0.86702,                0.96624,                      1,                  0.995,                 0.8955,                  1.062,                 1.2462,                0.63799,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.2348,                 1.0335,                0.86678,                0.96621,                      1,                  0.995,                  0.796,                 1.1803,                 1.1027,                0.64486,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.2588,                 1.0174,                 0.8537,                0.96275,                      1,                  0.995,                 0.8955,                0.93644,                 1.0129,                0.62928,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.5223,                 1.0661,                0.89047,                0.96275,                      1,                  0.995,                 0.8955,                0.93644,                 1.0129,                0.62928,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.4315,                0.90537,                0.85237,                 0.9579,                      1,                  0.995,                 0.8955,                0.77436,                 1.0439,                0.62023,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.1858,                0.93466,                0.80513,                0.95629,                      1,                  0.995,                  0.796,                 1.0374,                0.99157,                0.62253,              0.0011486,              0.0011486,              0.0011486
                     88,                  1.235,                0.88938,                0.82331,                0.95871,                      1,                  0.995,                  0.796,                 1.2522,                 1.1123,                0.62806,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.1387,                 1.0556,                0.79183,                0.95871,                      1,                  0.995,                  0.796,                 1.2522,                 1.1123,                0.62806,              0.0011288,              0.0011288,              0.0011288
                     90,                  1.463,                0.91458,                0.83475,                0.96177,                      1,                  0.995,                  0.597,                 1.4988,                 1.1884,                0.64305,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.2986,                0.90867,                0.84075,                 0.9614,                      1,                  0.995,                  0.597,                 1.5221,                 1.2013,                0.64342,               0.001109,               0.001109,               0.001109
                     92,                 1.3523,                0.94951,                0.79976,                0.95766,                      1,                  0.995,                  0.597,                  1.478,                  1.163,                0.63598,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.0338,                 1.2022,                0.77295,                0.95766,                      1,                  0.995,                  0.597,                  1.478,                  1.163,                0.63598,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.1961,                0.80116,                0.79413,                 0.9555,                      1,                  0.995,                  0.597,                 1.5516,                 1.0985,                0.63876,              0.0010793,              0.0010793,              0.0010793
                     95,                  1.177,                 0.8044,                0.85291,                0.95568,                      1,                  0.995,                  0.597,                 1.7333,                 1.0317,                0.65515,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.3668,                0.90678,                  0.822,                0.95811,                      1,                  0.995,                  0.597,                  1.838,                 1.0133,                0.66834,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.3094,                0.87967,                0.84402,                0.95811,                      1,                  0.995,                  0.597,                  1.838,                 1.0133,                0.66834,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.2429,                0.87777,                0.87713,                0.95823,                      1,                  0.995,                  0.597,                 1.7228,                0.99884,                0.65897,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.2915,                0.88907,                0.79168,                0.95463,                      1,                  0.995,                 0.6965,                 1.5337,                0.99284,                0.64519,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.4271,                 1.1119,                0.82917,                0.95378,                      1,                  0.995,                 0.6965,                 1.4286,                0.95175,                0.63773,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.2599,                 0.9295,                0.83097,                0.95378,                      1,                  0.995,                 0.6965,                 1.4286,                0.95175,                0.63773,                0.00101,                0.00101,                0.00101
                    102,                 1.1873,                0.86256,                0.81619,                0.95835,                      1,                  0.995,                 0.6965,                 1.4008,                0.87267,                0.63476,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.2876,                0.82082,                0.80269,                0.96396,                      1,                  0.995,                 0.6965,                 1.4535,                0.80024,                0.63823,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.1918,                0.75609,                0.80093,                0.96676,                      1,                  0.995,                 0.6965,                 1.4726,                 0.8054,                0.63319,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.3619,                0.76068,                0.90786,                0.96676,                      1,                  0.995,                 0.6965,                 1.4726,                 0.8054,                0.63319,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.3743,                0.87125,                0.83728,                 0.9666,                      1,                  0.995,                 0.6965,                 1.3933,                0.82575,                0.62583,              0.0009605,              0.0009605,              0.0009605
                    107,                0.78716,                 1.1028,                0.56863,                0.96359,                      1,                  0.995,                 0.6965,                 1.3407,                0.85073,                0.62376,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.2611,                0.88224,                 0.7923,                 0.9595,                      1,                  0.995,                 0.6965,                  1.283,                0.88161,                0.62278,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.2272,                0.78139,                0.84548,                 0.9595,                      1,                  0.995,                 0.6965,                  1.283,                0.88161,                0.62278,              0.0009308,              0.0009308,              0.0009308
                    110,                   1.31,                0.79236,                0.82203,                0.96189,                      1,                  0.995,                  0.796,                 1.2817,                 0.9194,                 0.6237,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.1641,                 0.7778,                0.81362,                0.96452,                      1,                  0.995,                  0.796,                 1.3867,                0.97877,                0.63268,               0.000911,               0.000911,               0.000911
                    112,                 1.3106,                0.76786,                0.87339,                0.96628,                      1,                  0.995,                 0.6965,                 1.5777,                 1.0902,                0.65202,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.2606,                0.89742,                0.82205,                0.96628,                      1,                  0.995,                 0.6965,                 1.5777,                 1.0902,                0.65202,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.5937,                0.91584,                0.90496,                0.96512,                      1,                  0.995,                 0.6965,                 1.7287,                 1.1624,                 0.6688,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.3268,                 0.8752,                0.77636,                0.96126,                      1,                  0.995,                 0.6965,                 1.8368,                  1.151,                0.67806,              0.0008714,              0.0008714,              0.0008714
                    116,                  1.211,                0.77078,                 0.8515,                0.95741,                      1,                  0.995,                 0.6965,                 1.8043,                 1.1083,                0.67489,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.1114,                 0.7999,                0.83747,                0.95741,                      1,                  0.995,                 0.6965,                 1.8043,                 1.1083,                0.67489,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.3527,                0.83169,                0.83168,                0.95917,                      1,                  0.995,                 0.6965,                 1.6852,                 1.0568,                0.66544,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.3684,                0.75333,                0.87075,                0.96242,                      1,                  0.995,                 0.6965,                 1.5676,                 1.0016,                0.65339,              0.0008318,              0.0008318,              0.0008318
                    120,                  1.355,                 0.8471,                0.88685,                0.96394,                      1,                  0.995,                 0.6965,                  1.535,                0.96317,                0.64716,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.2195,                0.76303,                0.78474,                0.96394,                      1,                  0.995,                 0.6965,                  1.535,                0.96317,                0.64716,               0.000812,               0.000812,               0.000812
                    122,                 1.3217,                0.72122,                0.85042,                0.96522,                      1,                  0.995,                  0.597,                  1.545,                0.92652,                0.64845,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.4251,                0.93342,                0.84865,                0.96629,                      1,                  0.995,                  0.597,                 1.6641,                0.83277,                0.64957,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.4601,                0.82189,                0.80518,                0.96684,                      1,                  0.995,                  0.597,                  1.638,                0.75161,                0.64465,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.2541,                0.72984,                0.83488,                0.96684,                      1,                  0.995,                  0.597,                  1.638,                0.75161,                0.64465,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.2722,                0.76377,                0.76497,                0.96647,                      1,                  0.995,                 0.6965,                  1.532,                 0.7602,                0.63585,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.1487,                0.79595,                0.71525,                0.96682,                      1,                  0.995,                 0.6965,                 1.2598,                0.72754,                0.61888,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.2795,                0.76875,                0.78978,                0.96825,                      1,                  0.995,                 0.6965,                 1.3031,                0.75824,                0.61943,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.3747,                0.75862,                0.86755,                0.96825,                      1,                  0.995,                 0.6965,                 1.3031,                0.75824,                0.61943,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.2379,                0.91466,                0.80543,                0.96874,                      1,                  0.995,                 0.6965,                 1.4601,                0.78444,                0.63376,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.1545,                0.74681,                0.78786,                0.96837,                      1,                  0.995,                  0.597,                 1.6706,                0.87133,                0.65632,               0.000713,               0.000713,               0.000713
                    132,                  1.583,                0.77217,                0.81778,                0.96758,                      1,                  0.995,                 0.4975,                 1.7776,                0.99415,                 0.6703,              0.0007031,              0.0007031,              0.0007031
                    133,                 1.3357,                0.73382,                0.84314,                0.96758,                      1,                  0.995,                 0.4975,                 1.7776,                0.99415,                 0.6703,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.5436,                 0.8279,                 0.8321,                 0.9651,                      1,                  0.995,                 0.4975,                 1.7636,                 1.0638,                0.66912,              0.0006833,              0.0006833,              0.0006833
                    135,                 1.3443,                0.90358,                0.81646,                0.96434,                      1,                  0.995,                 0.6965,                 1.5999,                 1.0714,                0.65155,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.1352,                0.68191,                 0.8173,                 0.9655,                      1,                  0.995,                  0.796,                   1.32,                 1.0347,                0.62694,              0.0006635,              0.0006635,              0.0006635
